,Unnamed: 0,Observed,Simulated
467,467,36.6,34.11362381624808
468,468,35.2,33.653315119185926
469,469,34.2,33.56611636616847
470,470,38.1,33.61108248574008
471,471,41.9,33.74401666280764
472,472,48.5,34.48000371012089
473,473,54.9,34.48042928281112
474,474,62.1,37.44595550787565
475,475,63.4,37.67021321941989
476,476,61.3,37.23583990419159
477,477,59.4,36.96903856377401
478,478,55.6,36.77100813328064
479,479,56.6,36.78983972482361
480,480,58.1,36.56400248387138
481,481,62.0,36.76372156497537
482,482,63.9,37.66607206978029
483,483,49.2,41.01961760520562
484,484,49.2,39.5621266221975
485,485,45.7,39.75323331238434
486,486,42.8,39.88557550692767
487,487,45.5,44.69281733553986
488,488,45.9,43.960180309147184
489,489,51.6,43.40806521628675
490,490,52.3,44.36685866314933
491,491,61.0,44.05225950795204
492,492,70.9,43.87778288904522
493,493,69.1,43.69595422911156
494,494,72.3,43.87143749111259
495,495,88.5,45.52046892108798
496,496,94.6,56.44054957529687
497,497,128.0,63.05298073090064
498,498,107.0,58.7508309409078
499,499,103.0,57.22650049326194
500,500,125.0,66.92186205784174
501,501,126.0,63.78566413380442
502,502,88.7,68.71074322110104
503,503,88.3,65.22013599911885
504,504,92.2,73.4786386720768
505,505,99.2,79.04751375864913
506,506,95.1,74.0863237373739
507,507,105.0,74.21492307466721
508,508,135.0,70.18538260110165
509,509,121.0,68.61524852865404
510,510,139.0,72.91307439099286
511,511,162.0,79.58102914252218
512,512,151.0,80.03225622749588
513,513,146.0,81.84366819106714
514,514,168.0,78.1683187730412
515,515,104.0,80.24508622109525
516,516,121.0,78.34137954434395
517,517,170.0,76.30531430486896
518,518,171.0,89.75633030851633
519,519,165.0,100.39996876405574
520,520,144.0,108.81292431523887
521,521,106.0,103.0351857907826
522,522,94.1,113.49614989706802
523,523,93.1,116.78751271517764
524,524,86.8,123.11424001003915
525,525,87.9,127.7614174025812
526,526,82.1,137.9830841675706
527,527,80.0,152.69050533005924
528,528,75.2,149.53234130793356
529,529,93.6,152.68783186059494
530,530,81.5,162.6528673812514
531,531,76.0,163.72142584583423
532,532,162.0,165.76018092295396
533,533,171.0,168.65597392548864
534,534,156.0,174.0792976959399
535,535,156.0,177.88564166165676
536,536,171.0,189.64598285637703
537,537,185.0,197.1636698688056
538,538,189.0,201.00383049521588
539,539,159.0,203.78151070802951
540,540,160.0,215.22165755788797
541,541,177.0,230.2278525731632
542,542,186.0,237.26442420321916
543,543,201.0,243.4313434968367
544,544,231.0,241.90163882996157
545,545,214.0,250.3167604370168
546,546,210.0,250.2851152882556
547,547,288.0,249.62759456971972
548,548,307.0,268.50084858785226
549,549,415.0,278.67559323571305
550,550,292.0,286.81531475158386
551,551,375.0,286.54792415667214
552,552,377.0,284.3714799460805
553,553,396.0,293.85295576942553
554,554,348.0,301.4357881398211
555,555,315.0,303.57550215360925
556,556,304.0,310.371396059156
557,557,315.0,306.4824909915332
558,558,309.0,307.51403554418573
559,559,359.0,315.7135336548544
560,560,304.0,315.13693722018513
561,561,279.0,316.6400163136198
562,562,293.0,326.21321941989123
563,563,300.0,322.67210544927417
564,564,253.0,331.01843705019473
565,565,280.0,329.8517786244522
566,566,323.0,336.05671574506425
567,567,362.0,352.14364715113527
568,568,401.0,356.5012496082719
569,569,436.0,372.60033711631536
570,570,400.0,363.181998820809
571,571,429.0,369.9196874768757
572,572,411.0,381.0956191588188
573,573,340.0,366.7981445303509
574,574,328.0,361.9900897487791
575,575,342.0,353.46527950884547
576,576,370.0,364.4622524184839
577,577,403.0,379.8642300356792
578,578,426.0,389.3816503831689
579,579,450.0,390.7153733701299
580,580,560.0,409.9015869973903
581,581,497.0,404.4114374024516
582,582,413.0,394.6316023868899
583,583,405.0,387.5363671983029
584,584,341.0,382.48438288038375
585,585,323.0,378.3549528579355
586,586,288.0,372.45542415922966
587,587,285.0,389.6101720057057
588,588,346.0,398.853108880113
589,589,331.0,435.8307925711649
590,590,425.0,436.742958528146
591,591,385.0,416.4142895578853
592,592,368.0,397.9786115622781
593,593,335.0,392.9258633959405
594,594,348.0,382.1491407216799
595,595,369.0,392.1123430061323
596,596,408.0,379.6359703040287
597,597,351.0,384.5973403752883
598,598,413.0,382.92248268468165
599,599,503.0,415.0091576559265
600,600,550.0,392.581782419824
601,601,497.0,376.34769015989326
602,602,453.0,361.3387671145524
603,603,399.0,351.30782238751056
604,604,368.0,342.37961288571364
605,605,406.0,334.0985794124437
606,606,324.0,327.8345422484901
607,607,322.0,322.030079941511
608,608,288.0,311.9042652409072
609,609,269.0,298.75518214886245
610,610,272.0,286.75985935640995
611,611,258.0,281.039464023933
612,612,259.0,273.35497434117224
613,613,314.0,301.3348073789121
614,614,380.0,318.1453433038285
615,615,352.0,307.69989077649626
616,616,278.0,290.62288087477015
617,617,259.0,291.4463312940172
618,618,241.0,275.0984474439893
619,619,242.0,274.4219396361967
620,620,220.0,271.08178327233344
621,621,261.0,264.82641033186826
622,622,231.0,253.09385139533623
623,623,214.0,242.4828401793816
624,624,212.0,243.7984272224664
625,625,213.0,245.56138937207223
626,626,207.0,237.82919189952392
627,627,243.0,227.76675479340457
628,628,208.0,218.90770630983124
629,629,185.0,223.43935708515443
630,630,173.0,223.1835115134804
631,631,226.0,215.1121216946932
632,632,189.0,221.99784417424064
633,633,183.0,210.4006610016849
634,634,183.0,204.1341140500709
635,635,195.0,197.139903270874
636,636,228.0,189.56054095472183
637,637,194.0,184.6276951658284
638,638,177.0,178.36492380782528
639,639,172.0,173.62753591707337
640,640,170.0,163.83557753590003
641,641,158.0,156.68998291230167
642,642,156.0,151.5755594422406
643,643,153.0,144.19809317518488
644,644,151.0,145.7440023406498
645,645,148.0,138.75541130338797
646,646,143.0,133.45266646183708
647,647,140.0,130.88045056144563
648,648,135.0,134.72367749364966
649,649,127.0,127.96429554250118
650,650,128.0,123.35463401942152
651,651,124.0,119.0162368939468
652,652,126.0,125.85750339554492
653,653,126.0,119.59197127111538
654,654,116.0,120.15993621865708
655,655,112.0,114.90803094540904
656,656,111.0,111.40554588052116
657,657,110.0,107.1038898639702
658,658,106.0,103.36142545026988
659,659,103.0,100.16078054396236
660,660,103.0,97.28276338533529
661,661,101.0,94.81370521384515
662,662,102.0,99.04866089529172
663,663,95.7,95.1421382095052
664,664,96.4,92.2819023508458
665,665,95.1,89.58046512230611
666,666,94.8,87.311458851588
667,667,93.8,85.46436425475845
668,668,92.8,83.03327480572163
669,669,91.1,81.37188812757906
670,670,87.0,79.60035996356716
671,671,85.8,77.80373392295157
672,672,83.0,76.6636137736874
673,673,74.0,77.45092870668527
674,674,76.9,76.21113725094364
675,675,75.2,74.33636406106832
676,676,74.0,72.87038617652605
677,677,73.4,71.60519130481337
678,678,71.0,70.43262396594874
679,679,69.9,69.40593530681302
680,680,68.3,68.67961912608239
681,681,65.0,68.3407705116318
682,682,66.1,67.6359948562993
683,683,75.8,85.66681682198819
684,684,65.5,79.86507163295447
685,685,63.9,74.69818814473155
686,686,63.9,73.04520925525121
687,687,62.3,71.02017616936156
688,688,62.8,68.60529667497465
689,689,61.2,66.2481859452573
690,690,61.0,64.78304283791512
691,691,59.7,62.83062991237227
692,692,59.1,61.005378652278125
693,693,59.4,59.49038625154688
694,694,57.6,58.03900059982561
695,695,58.9,57.11656906570767
696,696,59.1,56.504862884093846
697,697,56.5,55.55183649278999
698,698,57.3,57.352440001241256
699,699,57.1,56.407234872135525
700,700,56.5,54.75532537044091
701,701,55.0,53.885525720378965
702,702,54.0,53.32208384668608
703,703,53.1,51.97265559063727
704,704,51.6,51.14343811583147
705,705,51.8,50.5613801649708
706,706,50.6,49.66391283398335
707,707,50.4,49.378277173992736
708,708,48.7,48.6689020599696
709,709,48.7,48.07817170153032
710,710,48.7,47.67245634214135
711,711,47.5,46.18124145146204
712,712,48.0,45.38092609118645
713,713,48.2,44.2723651577364
714,714,47.3,43.42799074788604
715,715,47.3,42.37585229626816
716,716,47.1,42.05591165820238
717,717,45.5,41.91354668119797
718,718,43.2,41.30571975833745
719,719,44.1,41.24122094349602
720,720,44.3,40.56165501399991
721,721,42.8,41.36004029300407
722,722,41.7,37.813768981547945
723,723,41.4,36.35719461664187
724,724,41.2,37.091929498155
725,725,40.8,43.84440407717734
726,726,40.0,39.60308117355761
727,727,39.3,37.612972328568034
728,728,39.3,37.027217896968445
729,729,38.5,36.01355558139606
730,730,38.5,35.0679958083818
731,731,38.1,34.62147730330136
732,732,40.2,35.050359094007575
733,733,38.3,37.66337814009048
734,734,38.9,38.92223852599079
735,735,37.9,39.68851761915269
736,736,36.0,39.86564451926824
737,737,36.4,39.60974029494779
738,738,35.2,38.91285273855003
739,739,35.0,38.290523607860685
740,740,34.2,37.20591341437174
741,741,34.0,36.19015597170896
742,742,34.0,35.242539264025226
743,743,33.1,34.390271299179986
744,744,32.3,34.97881514152167
745,745,32.5,33.65895191130902
746,746,32.9,32.67568121468267
747,747,32.3,31.786943579905195
748,748,33.1,31.10647330844233
749,749,32.3,30.37939327929333
750,750,32.5,29.8416003442774
751,751,32.3,29.34130384150964
752,752,31.9,28.89935205875904
753,753,31.9,28.417824743846506
754,754,31.7,28.141306160335198
755,755,31.3,27.90394026432565
756,756,30.8,27.678673181657132
757,757,30.4,27.5236146807574
758,758,31.1,27.352013405539743
759,759,31.3,27.41440345314046
760,760,30.0,28.56784457321504
761,761,30.9,29.325219376242742
762,762,36.2,30.90867612451957
763,763,35.0,36.53004942167468
764,764,29.6,35.327245961577745
765,765,29.4,34.461472883892654
766,766,29.1,33.803291982080935
767,767,28.9,32.75225019854944
768,768,29.2,31.709608019589982
769,769,28.9,31.13678990656156
770,770,28.4,30.890298749982524
771,771,27.5,30.792875340279124
772,772,27.5,30.287480490322483
773,773,27.5,29.61313873840204
774,774,27.3,29.44283327746555
775,775,27.5,29.06716955627568
776,776,28.0,28.858606201698947
777,777,27.0,28.92620951475506
778,778,27.1,28.606296156989945
779,779,27.0,28.450140988003827
780,780,27.5,30.71842194372824
781,781,46.5,40.29915168495072
782,782,32.1,44.84390518867909
783,783,29.4,43.098882564784745
784,784,28.4,41.816379706320745
785,785,28.9,40.14649521452376
786,786,28.2,38.50347363478293
787,787,28.0,36.920036323720325
788,788,27.7,35.547543937481734
789,789,27.5,35.99803445433772
790,790,27.7,35.58792833055813
791,791,28.9,35.50009667456545
792,792,28.7,33.91812295163305
793,793,28.2,32.54201728957255
794,794,28.9,31.210550383475777
795,795,28.0,34.13681002578329
796,796,27.5,36.37958901545054
797,797,27.5,40.43292473126346
798,798,28.2,49.67052830689247
799,799,27.7,47.59143657722252
800,800,28.2,46.35998607340652
801,801,27.8,44.86097447279966
802,802,27.5,42.64182704357584
803,803,26.3,41.784564055680455
804,804,28.5,45.923654032591095
805,805,29.6,43.52642898477384
806,806,28.5,44.5522173939879
807,807,28.7,47.44661364512898
808,808,27.8,48.84112259801216
809,809,27.8,46.5553021139846
810,810,28.2,47.28840699753352
811,811,28.4,45.45206765923767
812,812,30.6,44.095272357996656
813,813,34.8,41.89876757831748
814,814,32.1,41.258452545405504
815,815,30.4,45.42089718770791
816,816,30.9,49.81764278424112
817,817,32.5,46.95464615915532
818,818,34.4,44.29145727615064
819,819,35.2,42.15022647764601
820,820,34.7,40.49219800451421
821,821,34.8,39.31673349771988
822,822,35.0,38.14198919086287
823,823,35.8,37.02235654739151
824,824,37.7,46.03376823815975
825,825,39.4,47.22842852851081
826,826,35.8,47.50424873632532
827,827,35.4,45.36165801483298
828,828,35.2,43.5922631703324
829,829,35.4,41.736127881865386
830,830,35.6,40.3757956896443
831,831,37.3,39.04008396876542
832,832,38.7,38.35719529864939
833,833,41.4,36.53952250607754
834,834,41.4,34.7919055255908
835,835,44.1,34.786165750332735
836,836,41.5,37.84239420102649
837,837,43.4,38.08712305018314
838,838,44.1,37.9056735864286
839,839,45.0,36.05662026401193
840,840,50.2,37.275667779134594
841,841,53.8,37.42451455557492
842,842,45.7,36.797356811669424
843,843,43.0,35.469122621200405
844,844,43.7,34.38750234866338
845,845,53.1,33.39655361141735
846,846,65.4,32.85162687777982
847,847,65.0,34.46336886478826
848,848,64.5,35.24188862885458
849,849,51.6,38.89237478086246
850,850,46.2,41.82209083726312
851,851,46.8,41.198798711960606
852,852,46.8,42.5409840481852
853,853,46.6,39.721166682978016
854,854,52.3,38.04647267417534
855,855,58.2,42.65751458046819
856,856,46.8,40.70363397475003
857,857,43.9,41.50628316474676
858,858,43.2,45.13268899536542
859,859,42.1,53.864931821413606
860,860,40.4,50.80022465327591
861,861,40.2,49.79616773156457
862,862,43.2,49.536642047332
863,863,42.1,50.98828413387944
864,864,59.4,52.94595124532867
865,865,63.7,54.97333862116494
866,866,58.4,55.29959737686269
867,867,61.3,69.47096063145712
868,868,70.0,66.34511012545869
869,869,65.3,65.06507749821911
870,870,59.1,65.6265279099641
871,871,63.7,66.21889781447281
872,872,59.1,65.59121628879471
873,873,66.8,68.57239117632315
874,874,64.7,64.76487142964803
875,875,71.7,62.20005940285468
876,876,79.7,62.81485644253285
877,877,83.1,64.83456986979454
878,878,87.6,61.53416090398732
879,879,91.5,58.91636780528958
880,880,81.7,56.939203462961366
881,881,89.5,55.68663664242244
882,882,96.0,53.61732217250766
883,883,103.0,52.29649731169688
884,884,101.0,56.55468762521232
885,885,100.0,54.96779253604154
886,886,110.0,71.51007580854548
887,887,105.0,68.10395294966546
888,888,85.3,68.08295803028045
889,889,88.6,70.31657356695729
890,890,89.0,81.10467758265163
891,891,95.9,94.22279207739147
892,892,108.0,115.92451677209937
893,893,128.0,135.28222528140483
894,894,145.0,144.87856208263273
895,895,129.0,138.3291293253343
896,896,118.0,132.3414306949077
897,897,107.0,139.49583139955786
898,898,118.0,141.05822877873936
899,899,129.0,135.9919059347953
900,900,142.0,130.7617266929899
901,901,161.0,127.26461039127112
902,902,164.0,147.58972201032628
903,903,179.0,146.81747125935075
904,904,244.0,190.1325215625201
905,905,202.0,190.4932326099166
906,906,304.0,199.1810590144514
907,907,196.0,197.60821873617869
908,908,184.0,185.1279613192617
909,909,258.0,184.83326859945325
910,910,237.0,182.5775150987939
911,911,304.0,193.4984523544434
912,912,418.0,226.0297198415424
913,913,294.0,255.7972200691624
914,914,247.0,249.96087254677636
915,915,258.0,246.8472299753216
916,916,360.0,284.2825461659413
917,917,317.0,269.9780659562649
918,918,260.0,261.9370991287695
919,919,298.0,253.6829312955858
920,920,284.0,292.4987834690926
921,921,293.0,314.8274040168197
922,922,392.0,305.81803016451045
923,923,343.0,298.359923328715
924,924,298.0,284.07735465652564
925,925,292.0,315.9766248743828
